Filename,x,y,Prediction,Confidence,Class A Probability,Class B Probability,Max Intensity,Mean Intensity,Dominant Peak,Secondary Peak,Intensity Ratio,Full Path
spectrum_Y002_X002.txt,2,2,Class B,0.9591679555008634,0.040832044499136584,0.9591679555008634,119.5,12.750800000000002,1019.2,1013.6,9.371960974997647,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y002_X002.txt
spectrum_Y003_X002.txt,2,3,Class B,0.8276152533363308,0.17238474666366915,0.8276152533363308,89.7,9.6448,1501.8,1479.4,9.300348374253485,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y003_X002.txt
spectrum_Y003_X003.txt,3,3,Class B,0.8905971667762373,0.10940283322376271,0.8905971667762373,112.0,12.0432,1047.3,1036.1,9.29985385943935,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y003_X003.txt
spectrum_Y002_X003.txt,3,2,Class B,0.7501900697074098,0.2498099302925902,0.7501900697074098,89.5,9.753200000000001,1490.6,1485.0,9.176475413197718,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y002_X003.txt
spectrum_Y003_X001.txt,1,3,Class A,0.8136012288845598,0.8136012288845598,0.18639877111544023,119.0,12.4718,996.8,991.2,9.541525681938452,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y003_X001.txt
spectrum_Y002_X001.txt,1,2,Class B,0.9419329028214466,0.05806709717855341,0.9419329028214466,89.6,9.476199999999999,1490.6,1535.5,9.455266879128766,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y002_X001.txt
spectrum_Y003_X004.txt,4,3,Class B,0.7159189232552359,0.2840810767447642,0.7159189232552359,99.3,10.007200000000001,1546.7,1473.7,9.922855544008312,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y003_X004.txt
spectrum_Y002_X004.txt,4,2,Class A,0.7693932309890642,0.7693932309890642,0.2306067690109358,115.4,12.172999999999996,974.3,1013.6,9.47999671403927,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y002_X004.txt
spectrum_Y002_X005.txt,5,2,Class B,0.8021425468473794,0.1978574531526206,0.8021425468473794,93.8,9.6898,1485.0,1552.3,9.680282358769015,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y002_X005.txt
spectrum_Y003_X005.txt,5,3,Class A,0.7793064713761707,0.7793064713761707,0.2206935286238293,119.5,12.3016,980.0,1013.6,9.714183520842816,/Users/aaroncelestian/Library/Mobile Documents/com~apple~CloudDocs/Python/RamanLab/test_unknowns/spectrum_Y003_X005.txt
